Time,Satellite,Target,Sender,Received Alpha,Received Beta,Receiver,Sent Alpha,Sent Beta
70.000,Sat3,Targ1,Sat1,0.010,nan,,,
71.000,Sat3,Targ1,Sat1,0.000,nan,,,
72.000,Sat3,Targ1,Sat1,-0.054,nan,,,
73.000,Sat3,Targ1,Sat1,-0.020,nan,,,
74.000,Sat3,Targ1,Sat1,-0.056,nan,,,
75.000,Sat3,Targ1,Sat1,-0.043,nan,,,
76.000,Sat3,Targ1,Sat1,-0.036,nan,Sat1,6.824,nan
77.000,Sat3,Targ1,Sat1,-0.017,0.016,Sat1,6.395,nan
78.000,Sat3,Targ1,Sat1,-0.018,0.007,Sat1,6.040,6.229
79.000,Sat3,Targ1,Sat1,-0.003,-0.011,Sat1,nan,nan
80.000,Sat3,Targ1,Sat1,nan,nan,Sat1,nan,nan
81.000,Sat3,Targ1,Sat1,nan,nan,Sat1,nan,nan
82.000,Sat3,Targ1,Sat1,nan,nan,Sat1,nan,nan
83.000,Sat3,Targ1,Sat1,nan,nan,Sat1,nan,nan
84.000,Sat3,Targ1,Sat1,nan,nan,Sat1,nan,nan
85.000,Sat3,Targ1,Sat1,nan,nan,Sat1,nan,nan
86.000,Sat3,Targ1,Sat1,nan,nan,Sat1,nan,nan
87.000,Sat3,Targ1,Sat1,nan,nan,Sat1,nan,nan
88.000,Sat3,Targ1,Sat1,nan,nan,Sat1,nan,nan
89.000,Sat3,Targ1,Sat1,nan,nan,Sat1,nan,nan
90.000,Sat3,Targ1,Sat1,nan,nan,Sat1,nan,nan
91.000,Sat3,Targ1,Sat1,nan,nan,Sat1,nan,nan
92.000,Sat3,Targ1,Sat1,nan,nan,Sat1,nan,nan
93.000,Sat3,Targ1,Sat1,nan,nan,Sat1,nan,nan
94.000,Sat3,Targ1,Sat1,nan,nan,Sat1,nan,nan
95.000,Sat3,Targ1,Sat1,nan,nan,Sat1,nan,nan
96.000,Sat3,Targ1,Sat1,nan,nan,Sat1,nan,nan
97.000,Sat3,Targ1,Sat1,nan,nan,Sat1,nan,nan
98.000,Sat3,Targ1,Sat1,nan,nan,Sat1,nan,nan
99.000,Sat3,Targ1,Sat1,nan,nan,Sat1,nan,nan
100.000,Sat3,Targ1,Sat1,nan,nan,Sat1,nan,nan
