Time    ,Satellite ,Target ,Sender ,Received Alpha ,Received Beta ,Receiver ,Sent Alpha ,Sent Beta
 85.000 ,Sat2      ,Targ1  ,Sat1   ,-0.015         ,0.022         ,         ,           ,
 86.000 ,Sat2      ,Targ1  ,Sat1   ,-0.008         ,0.006         ,         ,           ,
 87.000 ,Sat2      ,Targ1  ,Sat1   ,0.002          ,-0.005        ,         ,           ,
 88.000 ,Sat2      ,Targ1  ,Sat1   ,-0.015         ,0.009         ,         ,           ,
 89.000 ,Sat2      ,Targ1  ,Sat1   ,-0.011         ,0.006         ,         ,           ,
 90.000 ,Sat2      ,Targ1  ,Sat1   ,-0.041         ,0.016         ,         ,           ,
 91.000 ,Sat2      ,Targ1  ,Sat1   ,-0.016         ,-0.014        ,         ,           ,
 92.000 ,Sat2      ,Targ1  ,Sat1   ,-0.018         ,0.023         ,         ,           ,
 93.000 ,Sat2      ,Targ1  ,Sat3   ,-0.515         ,-0.537        ,         ,           ,
 94.000 ,Sat2      ,Targ1  ,Sat3   ,-1.015         ,-0.959        ,         ,           ,
 95.000 ,Sat2      ,Targ1  ,Sat3   ,-1.458         ,-1.463        ,         ,           ,
 96.000 ,Sat2      ,Targ1  ,Sat3   ,-1.951         ,-1.889        ,         ,           ,
 97.000 ,Sat2      ,Targ1  ,Sat3   ,-2.372         ,-2.375        ,         ,           ,
 98.000 ,Sat2      ,Targ1  ,Sat3   ,-2.826         ,-2.814        ,         ,           ,
 99.000 ,Sat2      ,Targ1  ,Sat3   ,-3.268         ,-3.258        ,         ,           ,
100.000 ,Sat2      ,Targ1  ,Sat3   ,-3.708         ,-3.723        ,         ,           ,
